"Olympics","Country","Medal","Event","Athlete","Record"
"Chamonix 1924","Norway","Gold","50km","Thorleif HAUG",""
"Chamonix 1924","Norway","Bronze","50km","Johan GROTTUMSBRAATEN",""
"Chamonix 1924","Norway","Silver","50km","Thoralf STRÖMSTAD",""
"Chamonix 1924","Norway","Silver","K90 individual (70m) men","Narve BONNA",""
"Chamonix 1924","United States of America","Bronze","K90 individual (70m) men","Anders HAUGEN",""
"Chamonix 1924","Norway","Gold","K90 individual (70m) men","Jacob Tullin THAMS",""
"Chamonix 1924","France","Bronze","curling men","curling",""
"Chamonix 1924","Great Britain","Gold","curling men","curling",""
"Chamonix 1924","Sweden","Silver","curling men","curling",""
"Chamonix 1924","Great Britain","Gold","curling men","T. AIKMAN",""
"Chamonix 1924","Great Britain","Gold","curling men","D.-G. ASTLEY",""
"Chamonix 1924","Great Britain","Gold","curling men","V. BROWN",""
"Chamonix 1924","Great Britain","Gold","curling men","R. COUSIN",""
"Chamonix 1924","Great Britain","Gold","curling men","V.-K. JACKSON",""
"Chamonix 1924","Great Britain","Gold","curling men","J. MC LEOD",""
"Chamonix 1924","Great Britain","Gold","curling men","T.-B. MURRAY",""
"Chamonix 1924","Great Britain","Gold","curling men","R. WELSH",""
"Chamonix 1924","Sweden","Silver","curling men","J.P. AHLEN",""
"Chamonix 1924","Sweden","Silver","curling men","C.-A.-V. KRONLUND",""
"Chamonix 1924","Sweden","Silver","curling men","T.-M. ODLUND",""
"Chamonix 1924","Sweden","Silver","curling men","C.-W. PETERSEN",""
"Chamonix 1924","Sweden","Silver","curling men","C.-A.-F. PETTERSSON",""
"Chamonix 1924","Sweden","Silver","curling men","E.-O. SEVERIN",""
"Chamonix 1924","Sweden","Silver","curling men","K.-E. WAHLBERG",""
"Chamonix 1924","Sweden","Silver","curling men","V.-E. WETTERSTROM",""
"Chamonix 1924","France","Bronze","curling men","H. ALDEERT",""
"Chamonix 1924","France","Bronze","curling men","Georges ANDRE",""
"Chamonix 1924","France","Bronze","curling men","BENEDIC",""
"Chamonix 1924","France","Bronze","curling men","P. CANIVET",""
"Chamonix 1924","France","Bronze","curling men","F. COURNOLLET",""
"Chamonix 1924","France","Bronze","curling men","R. PLANQUE",""
"Chamonix 1924","Norway","Gold","individual","Thorleif HAUG",""
"Chamonix 1924","Norway","Bronze","individual","Johan GROTTUMSBRAATEN",""
"Chamonix 1924","Norway","Silver","individual","Thoralf STRÖMSTAD",""
"Chamonix 1924","Norway","Gold","18km","Thorleif HAUG",""
"Chamonix 1924","Norway","Silver","18km","Johan GROTTUMSBRAATEN",""
"Chamonix 1924","Finland","Bronze","18km","Tapani NIKU",""
"Chamonix 1924","Switzerland","Gold","military patrol","military patrol",""
"Chamonix 1924","Finland","Silver","military patrol","military patrol",""
"Chamonix 1924","France","Bronze","military patrol","military patrol",""
"Chamonix 1924","Switzerland","Gold","military patrol","D. VAUCHER",""
"Chamonix 1924","Switzerland","Gold","military patrol","Ant. JULEN",""
"Chamonix 1924","Switzerland","Gold","military patrol","Alphonse JULEN",""
"Chamonix 1924","Switzerland","Gold","military patrol","Adolf AUFDENBLATTEN",""
"Chamonix 1924","Finland","Silver","military patrol","V.E. BREMER",""
"Chamonix 1924","Finland","Silver","military patrol","A. ESKELINEN",""
"Chamonix 1924","Finland","Silver","military patrol","H. HIRVONEN",""
"Chamonix 1924","Finland","Silver","military patrol","Martti LAPPALAINEN",""
"Chamonix 1924","France","Bronze","military patrol","C. MANDRILLON",""
"Chamonix 1924","France","Bronze","military patrol","G. BERTHET",""
"Chamonix 1924","France","Bronze","military patrol","Maurice MANDRILLON",""
"Chamonix 1924","France","Bronze","military patrol","André VANDELLE",""
"Chamonix 1924","Norway","Bronze","5000m men","Roald LARSEN",""
"Chamonix 1924","Finland","Silver","5000m men","Julius SKUTNABB",""
"Chamonix 1924","Finland","Gold","5000m men","Clas THUNBERG",""
"Chamonix 1924","Sweden","Gold","individual men","Gillis GRAFSTRÖM",""
"Chamonix 1924","Austria","Silver","individual men","Willy BÖCKL",""
"Chamonix 1924","Switzerland","Bronze","individual men","Georges GAUTSCHI",""
"Chamonix 1924","Canada","Gold","ice hockey men","ice hockey",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","ice hockey",""
"Chamonix 1924","United States of America","Silver","ice hockey men","ice hockey",""
"Chamonix 1924","Canada","Gold","ice hockey men","Jack CAMERON",""
"Chamonix 1924","Canada","Gold","ice hockey men","Ernest J. COLLETT",""
"Chamonix 1924","Canada","Gold","ice hockey men","Albert MAC CAFFERY",""
"Chamonix 1924","Canada","Gold","ice hockey men","Harold MAC MUNN",""
"Chamonix 1924","Canada","Gold","ice hockey men","Duncan MUNRO",""
"Chamonix 1924","Canada","Gold","ice hockey men","W.-Beattie RAMSAY",""
"Chamonix 1924","Canada","Gold","ice hockey men","Cyril SLATER",""
"Chamonix 1924","Canada","Gold","ice hockey men","Reginald SMITH",""
"Chamonix 1924","Canada","Gold","ice hockey men","Harry WATSON",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Clarence John ABEL",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Herbert L. DRURY",""
"Chamonix 1924","United States of America","Silver","ice hockey men","N. GERAN",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Alphonse LACROIX",""
"Chamonix 1924","United States of America","Silver","ice hockey men","John Arthur LANGLEY",""
"Chamonix 1924","United States of America","Silver","ice hockey men","John Sharkey LYONS",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Justin MAC CARTHY",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Willard RICE",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Irving Wheeler SMALL",""
"Chamonix 1924","United States of America","Silver","ice hockey men","Francis Allen SYNNOTT",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","William ANDERSON",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","C.-B. BOULDEN",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Louis Howland CARR-HARRIS",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Colin Gordon CARRUTHERS",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Eric Dudley CARRUTHERS",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Guy E. CLARKSON",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Ross George CUTHBERT",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","George HOLMES",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Hamilton JUKES",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Edward PITBLADO",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","B.-N. PATTON",""
"Chamonix 1924","Great Britain","Bronze","ice hockey men","Blane Nathaniel SEXTON",""
"Chamonix 1924","Norway","Silver","combined (4 events)","Roald LARSEN",""
"Chamonix 1924","Finland","Bronze","combined (4 events)","Julius SKUTNABB",""
"Chamonix 1924","Finland","Gold","combined (4 events)","Clas THUNBERG",""
"Chamonix 1924","Norway","Silver","1500m men","Roald LARSEN",""
"Chamonix 1924","Finland","Gold","1500m men","Clas THUNBERG",""
"Chamonix 1924","Norway","Bronze","1500m men","Sigurd MOEN",""
"Chamonix 1924","Norway","Bronze","10000m men","Roald LARSEN",""
"Chamonix 1924","Finland","Gold","10000m men","Julius SKUTNABB",""
"Chamonix 1924","Finland","Silver","10000m men","Clas THUNBERG",""
"Chamonix 1924","Switzerland","Gold","four-man men","four-man  01",""
"Chamonix 1924","Great Britain","Silver","four-man men","four-man  01",""
"Chamonix 1924","Belgium","Bronze","four-man men","four-man  01",""
"Chamonix 1924","Switzerland","Gold","four-man men","Eduard SCHERRER",""
"Chamonix 1924","Switzerland","Gold","four-man men","Alfred NEVEU",""
"Chamonix 1924","Switzerland","Gold","four-man men","Alfred SCHLÄPPI",""
"Chamonix 1924","Switzerland","Gold","four-man men","Heinrich SCHLÄPPI",""
"Chamonix 1924","Great Britain","Silver","four-man men","Ralpf BROOME",""
"Chamonix 1924","Great Britain","Silver","four-man men","Thomas ARNOLD",""
"Chamonix 1924","Great Britain","Silver","four-man men","Alexander RICHARDSON",""
"Chamonix 1924","Great Britain","Silver","four-man men","Rodney SOHER",""
"Chamonix 1924","Belgium","Bronze","four-man men","Charles MULDER",""
"Chamonix 1924","Belgium","Bronze","four-man men","René MORTIAUX",""
"Chamonix 1924","Belgium","Bronze","four-man men","Paul VAN DEN BROECK",""
"Chamonix 1924","Belgium","Bronze","four-man men","Victor VERSCHUEREN",""
"Chamonix 1924","Belgium","Bronze","four-man men","Henri WILLIEMS",""
"Chamonix 1924","Norway","Bronze","500m men","Roald LARSEN",""
"Chamonix 1924","United States of America","Gold","500m men","Charles JEWTRAW",""
"Chamonix 1924","Norway","Silver","500m men","Oskar OLSEN",""
"Chamonix 1924","Finland","Bronze","500m men","Clas THUNBERG",""
"Chamonix 1924","Finland","Silver","pairs mixed","JAKOBSSON, Ludowika / JAKOBSSON, Walter",""
"Chamonix 1924","France","Bronze","pairs mixed","BRUNET, Pierre / BRUNET, Andrée",""
"Chamonix 1924","Austria","Gold","pairs mixed","BERGER, Alfred / ENGELMANN, Helene",""
"Chamonix 1924","Austria","Gold","pairs mixed","Helene ENGELMANN",""
"Chamonix 1924","Austria","Gold","pairs mixed","Alfred BERGER",""
"Chamonix 1924","Finland","Silver","pairs mixed","Ludowika JAKOBSSON",""
"Chamonix 1924","Finland","Silver","pairs mixed","Walter JAKOBSSON",""
"Chamonix 1924","France","Bronze","pairs mixed","Andrée BRUNET",""
"Chamonix 1924","France","Bronze","pairs mixed","Pierre BRUNET",""
"Chamonix 1924","United States of America","Silver","individual women","Beatrix LOUGHRAN",""
"Chamonix 1924","Great Britain","Bronze","individual women","Ethel MUCKELT",""
"Chamonix 1924","Austria","Gold","individual women","Herma SZABO-PLANK",""
"St. Moritz 1928","France","Gold","pairs mixed","BRUNET, Pierre / BRUNET, Andrée",""
"St. Moritz 1928","Austria","Bronze","pairs mixed","BRUNNER, Melitta / WREDE, Ludwig",""
"St. Moritz 1928","Austria","Silver","pairs mixed","KAISER, Otto / SCHOLZ, Lilly",""
"St. Moritz 1928","France","Gold","pairs mixed","Andrée BRUNET",""
"St. Moritz 1928","France","Gold","pairs mixed","Pierre BRUNET",""
"St. Moritz 1928","Austria","Silver","pairs mixed","Lilly SCHOLZ",""
"St. Moritz 1928","Austria","Silver","pairs mixed","Otto KAISER",""
"St. Moritz 1928","Austria","Bronze","pairs mixed","Melitta BRUNNER",""
"St. Moritz 1928","Austria","Bronze","pairs mixed","Ludwig WREDE",""
"St. Moritz 1928","Norway","Gold","individual","Johan GROTTUMSBRAATEN",""
"St. Moritz 1928","Norway","Silver","individual","Hans VINJARENGEN",""
"St. Moritz 1928","Norway","Bronze","individual","John SNERSRUD",""
"St. Moritz 1928","United States of America","Gold","five-man","five-man  02",""
"St. Moritz 1928","United States of America","Silver","five-man","five-man  01",""
"St. Moritz 1928","Germany","Bronze","five-man","five-man  02",""
"St. Moritz 1928","United States of America","Gold","five-man","William FISKE",""
"St. Moritz 1928","United States of America","Gold","five-man","Nion TUCKER",""
"St. Moritz 1928","United States of America","Gold","five-man","Geoffrey Travers MASON",""
"St. Moritz 1928","United States of America","Gold","five-man","Clifford Barton GRAY",""
"St. Moritz 1928","United States of America","Gold","five-man","Richard PARKE",""
"St. Moritz 1928","United States of America","Silver","five-man","Jennison HEATON",""
"St. Moritz 1928","United States of America","Silver","five-man","David GRANGER",""
"St. Moritz 1928","United States of America","Silver","five-man","Lyman HINE",""
"St. Moritz 1928","United States of America","Silver","five-man","Thomas DOE",""
"St. Moritz 1928","United States of America","Silver","five-man","Jay James O'BRIEN",""
"St. Moritz 1928","Germany","Bronze","five-man","Hanns KILIAN",""
"St. Moritz 1928","Germany","Bronze","five-man","Hans HESS",""
"St. Moritz 1928","Germany","Bronze","five-man","Sebastian HUBER",""
"St. Moritz 1928","Germany","Bronze","five-man","Valentin KREMPL",""
"St. Moritz 1928","Germany","Bronze","five-man","Hanns NÄGLE",""
"St. Moritz 1928","Canada","Gold","ice hockey men","ice hockey",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","ice hockey",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","ice hockey",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Joseph Taylor SULLIVAN",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Ross Croft TAYLOR",""
"St. Moritz 1928","Canada","Gold","ice hockey men","John Chester PORTER",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Henry Louis HUDSON",""
"St. Moritz 1928","Canada","Gold","ice hockey men","David TROTTIER",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Norbert Edward MUELLER",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Hugh John PLAXTON",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Frank Gerald SULLIVAN",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Franlyn Wood FISHER",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Herbert Alfred PLAXTON",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Rogers Hayward PLAXTON",""
"St. Moritz 1928","Canada","Gold","ice hockey men","Charles DELAHAY",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Nils JOHANSSON",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Kurt SUCKSDORFF",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Carl ABRAHAMSSON",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Henry JOHANSSON",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Sigfrid ÖBERG",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Gustaf JOHANSSON",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Wilhelm PETERSEN",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Birger HOLMQVIST",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Bertil LINDE",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Erik LARSSON",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Emil BERGMAN",""
"St. Moritz 1928","Sweden","Silver","ice hockey men","Ernst KARLBERG",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Arnold MARTIGNONI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Mezzi ANDREOSSI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Giannin ANDREOSSI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Robert BREITER",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Richard TORRIANI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Charles FASEL",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Luzius RÜEDI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Albert GEROMINI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Fritz KRAATZ",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Heini MENG",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Anton MOROSANI",""
"St. Moritz 1928","Switzerland","Bronze","ice hockey men","Louis DUFOUR",""
"St. Moritz 1928","Austria","Silver","individual women","Fritzi BURGER",""
"St. Moritz 1928","Norway","Gold","individual women","Sonja HENIE",""
"St. Moritz 1928","United States of America","Bronze","individual women","Beatrix LOUGHRAN",""
"St. Moritz 1928","Norway","Bronze","18km","Reidar ÖDEGAARD",""
"St. Moritz 1928","Norway","Gold","18km","Johan GROTTUMSBRAATEN",""
"St. Moritz 1928","Norway","Silver","18km","Ole HEGGE",""
"St. Moritz 1928","Sweden","Bronze","50km","Volger ANDERSSON",""
"St. Moritz 1928","Sweden","Gold","50km","Per Erik HEDLUND",""
"St. Moritz 1928","Sweden","Silver","50km","Gustav JONSSON",""
"St. Moritz 1928","Great Britain","Bronze","individual men","David, Earl of NORTHESK",""
"St. Moritz 1928","United States of America","Silver","individual men","John HEATON",""
"St. Moritz 1928","United States of America","Gold","individual men","Jennison HEATON",""
"St. Moritz 1928","Norway","Bronze","5000m men","Bernt EVENSEN",""
"St. Moritz 1928","Norway","Gold","5000m men","Ivar BALLANGRUD",""
"St. Moritz 1928","Finland","Silver","5000m men","Julius SKUTNABB",""
"St. Moritz 1928","Austria","Silver","individual men","Willy BÖCKL",""
"St. Moritz 1928","Sweden","Gold","individual men","Gillis GRAFSTRÖM",""
"St. Moritz 1928","Belgium","Bronze","individual men","Robert VAN ZEEBROECK",""
"St. Moritz 1928","Norway","Silver","K90 individual (70m) men","Sigmund RUUD",""
"St. Moritz 1928","Norway","Gold","K90 individual (70m) men","Alf ANDERSEN",""
"St. Moritz 1928","Czechoslovakia","Bronze","K90 individual (70m) men","Rudolf BURKERT",""
"St. Moritz 1928","Norway","Gold","500m men","Bernt EVENSEN",""
"St. Moritz 1928","Finland","Bronze","500m men","Jaakko FRIMAN",""
"St. Moritz 1928","Norway","Bronze","500m men","Roald LARSEN",""
"St. Moritz 1928","United States of America","Bronze","500m men","John O FARRELL",""
"St. Moritz 1928","Finland","Gold","500m men","Clas THUNBERG",""
"St. Moritz 1928","Finland","Gold","1500m men","Clas THUNBERG",""
"St. Moritz 1928","Norway","Bronze","1500m men","Ivar BALLANGRUD",""
"St. Moritz 1928","Norway","Silver","1500m men","Bernt EVENSEN",""
"Lake Placid 1932","Canada","Bronze","5000m men","William F. LOGAN",""
"Lake Placid 1932","United States of America","Gold","5000m men","Irving JAFFEE",""
"Lake Placid 1932","United States of America","Silver","5000m men","Edward MURPHY",""
"Lake Placid 1932","Norway","Bronze","individual","Hans VINJARENGEN",""
"Lake Placid 1932","Norway","Gold","individual","Johan GROTTUMSBRAATEN",""
"Lake Placid 1932","Norway","Silver","individual","Ole STENEN",""
"Lake Placid 1932","United States of America","Gold","1500m men","John A. SHEA",""
"Lake Placid 1932","Canada","Silver","1500m men","Alexander HURD",""
"Lake Placid 1932","Canada","Bronze","1500m men","William F. LOGAN",""
"Lake Placid 1932","United States of America","Silver","pairs mixed","LOUGHRAN, Beatrix / BADGER, Sherwin",""
"Lake Placid 1932","France","Gold","pairs mixed","BRUNET, Pierre / BRUNET, Andrée",""
"Lake Placid 1932","Hungary","Bronze","pairs mixed","ROTTER, Emilia / SZOLLAS, Laszlo",""
"Lake Placid 1932","France","Gold","pairs mixed","Andrée BRUNET",""
"Lake Placid 1932","France","Gold","pairs mixed","Pierre BRUNET",""
"Lake Placid 1932","United States of America","Silver","pairs mixed","Beatrix LOUGHRAN",""
"Lake Placid 1932","United States of America","Silver","pairs mixed","Sherwin BADGER",""
"Lake Placid 1932","Hungary","Bronze","pairs mixed","Emilia ROTTER",""
"Lake Placid 1932","Hungary","Bronze","pairs mixed","Laszlo SZOLLAS",""
"Lake Placid 1932","Austria","Gold","individual men","Karl SCHÄFER",""
"Lake Placid 1932","Canada","Bronze","individual men","Montgomery WILSON",""
"Lake Placid 1932","Sweden","Silver","individual men","Gillis GRAFSTRÖM",""
"Lake Placid 1932","Canada","Gold","ice hockey men","ice hockey",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","ice hockey",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","ice hockey",""
"Lake Placid 1932","Canada","Gold","ice hockey men","William George COCKBURN",""
"Lake Placid 1932","Canada","Gold","ice hockey men","W. Stanley WAGNER",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Hugh SUTHERLAND",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Roy HINKEL",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Walter MONSON",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Harold SIMPSON",""
"Lake Placid 1932","Canada","Gold","ice hockey men","George GARBUTT",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Norman MALLOY",""
"Lake Placid 1932","Canada","Gold","ice hockey men","J. Alliston WISE",""
"Lake Placid 1932","Canada","Gold","ice hockey men","C. Victor LINDQUIST",""
"Lake Placid 1932","Canada","Gold","ice hockey men","N.Romeo RIVERS",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Kenneth MOORE",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Clifford CROWLEY",""
"Lake Placid 1932","Canada","Gold","ice hockey men","Albert DUNCANSON",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Franklin FARRELL",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Edward Hartwell FRAZIER",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Osborn ANDERSON",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","John Bright GARRISON",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Joseph FITZGERALD",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Gerard HALLOCK",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Robert Cambridge LIVINGSTON",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","John Pierce CHASE",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Francis Augustus NELSON",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","John Peale BENT",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","John Emery COOKMAN",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Winthrop Hale PALMER",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Douglas Newton EVERETT",""
"Lake Placid 1932","United States of America","Silver","ice hockey men","Gordon SMITH",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Walter LEINWEBER",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Alfred HEINRICH",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Erich RÖMER",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Rudolf BALL",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Georg STROBL",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Erich HERKER",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Gustav JÄNECKE",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Werner KORFF",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Martin SCHRÖTTLE",""
"Lake Placid 1932","Germany","Bronze","ice hockey men","Marquardt SLEVOGT",""
